INFO 2024-06-25 09:47:19,368 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-25 09:47:19,833 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1718659994.5691614
DEBUG 2024-06-25 09:47:19,833 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1718659995.6001723
DEBUG 2024-06-25 09:47:19,833 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1718659995.4596853
DEBUG 2024-06-25 09:47:19,834 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1718659995.5960789
DEBUG 2024-06-25 09:47:19,834 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\calendar.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,834 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\asyncio\tasks.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,834 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1718659995.333321
DEBUG 2024-06-25 09:47:19,834 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\email\generator.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,834 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\forms\formsets.py first seen with mtime 1718659995.504756
DEBUG 2024-06-25 09:47:19,834 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\ast.py first seen with mtime 1652795110.0
